dept,endsite,time,m,w,num
10,260,2016-04-27,4,3,16
10,260,2016-04-28,4,4,3
10,260,2016-04-29,4,5,28
10,260,2016-04-30,4,6,15
10,260,2016-05-01,5,7,10
10,260,2016-05-02,5,1,6
10,260,2016-05-03,5,2,12
10,260,2016-05-04,5,3,6
10,260,2016-05-05,5,4,6
10,260,2016-05-06,5,5,5
10,260,2016-05-07,5,6,6
10,260,2016-05-08,5,7,4
10,260,2016-05-09,5,1,2
10,260,2016-05-10,5,2,6
10,260,2016-05-11,5,3,4
10,260,2016-05-12,5,4,7
10,260,2016-05-13,5,5,4
10,260,2016-05-14,5,6,6
10,260,2016-05-15,5,7,4
10,260,2016-05-16,5,1,10
10,260,2016-05-17,5,2,7
10,260,2016-05-18,5,3,2
10,260,2016-05-19,5,4,8
10,260,2016-05-20,5,5,3
10,260,2016-05-21,5,6,13
10,260,2016-05-22,5,7,9
10,260,2016-05-23,5,1,4
10,260,2016-05-24,5,2,4
10,260,2016-05-25,5,3,3
10,260,2016-05-26,5,4,7
10,260,2016-05-27,5,5,4
10,260,2016-05-28,5,6,3
10,260,2016-05-29,5,7,15
10,260,2016-05-30,5,1,2
10,260,2016-05-31,5,2,11
11,260,2016-01-01,1,5,76
11,260,2016-01-02,1,6,67
11,260,2016-01-03,1,7,89
11,260,2016-01-04,1,1,42
11,260,2016-01-05,1,2,54
11,260,2016-01-06,1,3,51
11,260,2016-01-07,1,4,46
11,260,2016-01-08,1,5,37
11,260,2016-01-09,1,6,72
11,260,2016-01-10,1,7,64
11,260,2016-01-11,1,1,60
11,260,2016-01-12,1,2,70
11,260,2016-01-13,1,3,74
11,260,2016-01-14,1,4,108
11,260,2016-01-15,1,5,116
11,260,2016-01-16,1,6,138
11,260,2016-01-17,1,7,119
11,260,2016-01-18,1,1,116
11,260,2016-01-19,1,2,85
11,260,2016-01-20,1,3,109
11,260,2016-01-21,1,4,133
11,260,2016-01-22,1,5,148
11,260,2016-01-23,1,6,146
11,260,2016-01-24,1,7,202
11,260,2016-01-25,1,1,219
11,260,2016-01-26,1,2,236
11,260,2016-01-27,1,3,295
11,260,2016-01-28,1,4,267
11,260,2016-01-29,1,5,300
11,260,2016-01-30,1,6,275
11,260,2016-01-31,1,7,307
11,260,2016-02-01,2,1,314
11,260,2016-02-02,2,2,301
11,260,2016-02-03,2,3,370
11,260,2016-02-04,2,4,334
11,260,2016-02-05,2,5,348
11,260,2016-02-06,2,6,290
11,260,2016-02-07,2,7,99
11,260,2016-02-08,2,1,51
11,260,2016-02-09,2,2,88
11,260,2016-02-10,2,3,107
11,260,2016-02-11,2,4,87
11,260,2016-02-12,2,5,118
11,260,2016-02-13,2,6,160
11,260,2016-02-14,2,7,137
11,260,2016-02-15,2,1,124
11,260,2016-02-16,2,2,113
11,260,2016-02-17,2,3,176
11,260,2016-02-18,2,4,75
11,260,2016-02-19,2,5,110
11,260,2016-02-20,2,6,90
11,260,2016-02-21,2,7,91
11,260,2016-02-22,2,1,58
11,260,2016-02-23,2,2,154
11,260,2016-02-24,2,3,186
11,260,2016-02-25,2,4,109
11,260,2016-02-26,2,5,81
